name,Type,Plot Summary,Genre,Released,Status,Other name
Bermuda Triangle, Winter 2019 Anime," A spinoff based on the Bermuda Triangle clan from Bushiroad's popular Cardfight!! Vanguard trading card game.Mermaids are known worldwide as bewitching mythological creatures of the sea. Despite their charms and otherworldly powers, daily life for these beings comes with everyday problems. But there's nothing that can't be overcome with the support of friends. Follow the adventures of five young mermaids as they explore their town and the world around them in this delightful slice-of-life series that takes viewers to an enchanting world beneath the waves."," Fantasy, Music", 2019, Completed, バミューダトライアングル ～カラフル・パストラーレ～
Bernard-jou Iwaku., Fall 2016 Anime," The story centers around a lazy girl's love for famous literary works along with her bookworm friends. Sawako ""Miss Bernard"" Machida wants to be well-versed in literature but she doesn't actually read those books! Encounter various prominent works including the Bible, The Tale of the Heike, The Great Passage, Fermat's Last Theorem and more that she hasn't read."," Comedy, School", 2016, Completed," Miss Bernard said., バーナード嬢曰く。"
Berserk, TV Series," Guts, a man who calls himself “The Black Swordsman” looks upon his days serving as a member of a group of mercenaries, the Band of the Hawk, nicknamed “the Grim Reaper of the Battlefield.” Led by an ambitious, ruthless, and intelligent man named Griffith, together they battle their way into the royal court, and are forced into a fate that may chang…more Guts, a man who calls himself “The Black Swordsman” looks upon his days serving as a member of a group of mercenaries, the Band of the Hawk, nicknamed “the Grim Reaper of the Battlefield.” Led by an ambitious, ruthless, and intelligent man named Griffith, together they battle their way into the royal court, and are forced into a fate that may change their entire lives."," Action, Adventure, Demons, Fantasy, Horror, Military, Romance, Seinen, Supernatural", 1997, Completed," Kenpuu Denki Berserk, Kenfu Denki Berserk, Sword-Wind Chronicle Berserk, 剣風伝奇ベルセルク"
Berserk (2016), Summer 2016 Anime," Guts, known as the Black Swordsman, seeks sanctuary from the demonic forces that pursue him and his woman, and also vengeance against the man who branded him as an unholy sacrifice. Aided only by his titanic strength, skill, and sword, Guts must struggle against his bleak destiny, all the while fighting with a rage that might strip him of his humanity. Berserk is a dark and brooding story of outrageous swordplay and ominous fate, in the theme of Shakespeare's Macbeth."," Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural", 2016, Completed,
Berserk (2016) (Dub), Summer 2016 Anime," Now branded for death and destined to be hunted by demons until the day he dies, Guts embarks on a journey to defy such a gruesome fate, as waves of beasts relentlessly pursue him. Steeling his resolve, he takes up the monstrous blade Dragonslayer and vows to exact vengeance on the one responsible, hunting down the very man he once looked up to and considered a friend.Along the way, he encounters some unlikely allies, such as a small elf named Puck, and Isidro, a young thief looking to learn swordsmanship from the former mercenary. As the ragtag group slowly comes together after having decided to join Guts in his quest, they will face incredible danger unlike anything they have ever experienced before."," Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural", 2016, Completed," Berserk, ベルセルク"
Berserk (2017), Spring 2017 Anime, Continuous of Berserk (2016).," Action, Adventure, Demons, Drama, Fantasy, Horror, Magic, Military, Romance, Supernatural", 2017, Completed," Berserk, ベルセルク"
Berserk (2017) (Dub), Spring 2017 Anime," Demons have now become commonplace around the kingdom of Midland, which has fallen into chaos. The swordsman Guts still cannot stay in one place for long due to his demonic brand. He could always manage to protect himself when he was alone, but now he has the added challenge of protecting former Commander Casca, a shell of her former self who neither remembers nor trusts him. They never have a moment's rest with the constant threat of demons, and they need a place where Casca will be safe till they find a way to heal her. Their elf ally, Puck, tells of the mystical land of Elfhelm, which is supposed to be a safe haven from the demons that ravage the lands. Tired and with only a vague hope, they struggle on to find a place to live—and they still need to find those responsible for the madness they are forced to endure."," Action, Adventure, Demons, Drama, Fantasy, Horror, Magic, Military, Romance, Seinen, Supernatural", 2017, Completed," Berserk, Berserk 2nd Season, ベルセルク"
Berserk (Dub), TV Series," A brave young warrior named Guts fights for his fortune as a mercenary on the front lines. A fated encounter unites Guts with the charismatic and deadly young man named Griffith. Leading the rogue soldiers known as the Band of the Hawk, Griffith wields his formidable force like no other. Driven by a quest for status, the Hawks exert military and social prowess the likes of which have never been seen before. The armies of Midland will quake with fear as Griffith and Guts set off on a path that will bring the world to its knees."," Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural", 1997, Completed," Kenpuu Denki Berserk, Kenfu Denki Berserk, Sword-Wind Chronicle Berserk, 剣風伝奇ベルセルク"
Berserk Ougon Jidaihen III, Movie,"  In the dead of night, at a camping site where they hide, the Band of the Hawk is attacked by Bakiraka assassins led by Silat. When all seems lost, Guts returns from his journey. ""You destroyed everything."" Crying that Griffith is nothing without Guts, Casca and Guts are joined together body and soul. Griffith is imprisoned in the oldest building in Wyndham Catle, the Tower of Rebirth. They discover that Griffith has been tortured, with the tendons of his legs and arms severed and his tongue removed. Seeing Guts and Casca pitying him, Griffith drags his body along the ground. At that moment, the Egg of the King Behelit that he had thought lost returns to his hand. The Behelit resonated with Griffith's despair and screams, causing a shockwave that creates a twisted dimension. The God Hand descends. A nightmare of magnificent violence erupts as a horde of apostles devour the Band of the Hawk. This is the birth of the fifth guardian and the beginning of an age where darkness overcomes all light."," Action, Adventure, Demons, Fantasy, Military, Seinen, Supernatural", 2013, Completed, Berserk
Berserk Outtakes (Dub), Special," These ""outtakes"" are comedic specials from the DVDs, meant to be watched after the main show"," Action, Comedy, Demons, Fantasy, Horror, Seinen", 1997, Completed," Berserk Outtakes (Extras),"
